"filename", "language", "Markdown", "Dart", "YAML", "JSON", "Gradle", "Properties", "XML", "C++", "HTML", "Swift", "comment", "blank", "total"
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\onboarding\onboarding_one_page.dart", "Dart", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 81
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\onboarding\onboarding_theree_page.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 87
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\onboarding\onboarding_two_page.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 86
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\account_create_page\account_create_screen.dart", "Dart", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 300
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\account_create_page\extension\handle_authentication_state.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\cubit\date_cubit.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\cubit\gender_cubit.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\extension\user_register_extension.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\mixin\date_mixin.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\profile_completion_screen.dart", "Dart", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 156
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\widgets\custom_containerpcs.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\widgets\custom_textformfield.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\widgets\date_container.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\profil_completion_page\widgets\dropdown_container.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 74
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\register_page_tree\extension\register_tree_extension.dart", "Dart", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 113
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\register\register_page_tree\register_tree_screen.dart", "Dart", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 127
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\splash\splash_screen.dart", "Dart", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 117
"d:\fitnesX\fitnesx_flutter\lib\feature\screen\welcome\welcome_screen.dart", "Dart", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 113
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\common\common_imports.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 52
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\theme\colors.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\custom_complate_profile_textfield.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 54
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\custom_elevetad_button.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\custom_gradiant_fab.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 99
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\custom_linear_purple_container.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\custom_password_textfield.dart", "Dart", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 70
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\custom_textfield.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 48
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\privacyPolicyChackbox\privacy_policy_chackbox.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 64
"d:\fitnesX\fitnesx_flutter\lib\feature\utils\widgets\privacyPolicyChackbox\privacy_policy_cubit.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\fitnesX\fitnesx_flutter\lib\firebase_options.dart", "Dart", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 75
"d:\fitnesX\fitnesx_flutter\lib\fitnestx_icons.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 32
"d:\fitnesX\fitnesx_flutter\lib\main.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"d:\fitnesX\fitnesx_flutter\pubspec.yaml", "YAML", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 9, 17, 59
"d:\fitnesX\fitnesx_flutter\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\fitnesX\fitnesx_flutter\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 15, 5, 39
"d:\fitnesX\fitnesx_flutter\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 13, 2726, 36, 235, 72, 8, 140, 1, 19, 19, 180, 269, 3718
